0,10840,96
1,10370,54
2,10738,13
3,6694,1
4,4203,42
5,5116,84
6,5128,74
7,3755,24
8,1956,10
9,9902,3
10,1346,56
11,3002,13
12,10481,59
13,6169,90
14,9555,16
15,1327,61
16,4244,10
17,10768,99
18,2545,6
19,4097,94
20,2799,92
21,9556,32
22,2954,86
23,1118,75
24,3140,94
25,4171,69
26,4038,33
27,2976,98
28,5239,86
29,1465,4
30,9980,41
31,1727,58
32,7956,45
33,7430,20
34,3902,3
35,5894,24
36,10185,100
37,5498,5
38,1392,94
39,4223,39
40,3204,95
41,6415,48
42,5188,9
43,6827,54
44,3046,97
45,6549,35
46,6617,97
47,3862,90
48,8486,56
49,10339,94
