0,6163,21
1,5912,25
2,5997,28
3,5975,20
4,5873,23
5,5964,19
6,5935,14
7,6087,15
8,5869,16
9,6067,16
10,5884,19
11,5982,25
12,6153,16
13,6018,23
14,5970,16
15,5951,18
16,6082,14
17,5982,18
18,6177,23
19,6052,20
20,5942,22
21,6088,24
22,6089,18
23,6002,17
24,6031,24
25,5936,31
26,5900,17
27,6116,19
28,6000,15
29,5954,23
30,6172,14
31,6028,24
32,5871,21
33,6009,15
34,6067,22
35,5853,10
36,6007,19
37,6134,15
38,5824,16
39,6023,22
40,5951,20
41,5947,26
42,6056,23
43,6028,24
44,6043,17
45,6003,26
46,5979,24
47,6033,13
48,5990,16
49,5961,19
