0,5634,31
1,6336,27
2,5464,48
3,6409,6
4,8638,4
5,6025,56
6,3376,6
7,7651,8
8,3927,28
9,8548,10
10,4427,12
11,5696,18
12,3351,55
13,9385,14
14,8313,57
15,6493,30
16,8522,30
17,7614,63
18,5679,5
19,4465,36
20,7174,35
21,5740,57
22,6373,48
23,8926,38
24,8695,17
25,2363,18
26,6340,25
27,8810,31
28,1650,26
29,9706,45
30,4180,27
31,8460,54
32,6816,11
33,6973,23
34,6687,4
35,10655,41
36,5996,53
37,7012,5
38,4999,53
39,8315,17
40,6969,14
41,4576,39
42,4307,12
43,6510,18
44,5211,29
45,5050,23
46,6048,21
47,9308,4
48,1969,10
49,6704,5
