0,1450,51
1,2700,10
2,4180,19
3,2192,2
4,8414,9
5,2691,23
6,10744,17
7,9672,16
8,4157,63
9,8382,34
10,10518,32
11,8083,43
12,3834,38
13,2746,41
14,3736,14
15,6178,13
16,9259,5
17,1249,5
18,8269,26
19,4931,31
20,5878,47
21,5541,22
22,7554,21
23,9231,23
24,4468,53
25,8355,27
26,7552,24
27,1688,66
28,4952,28
29,6619,23
30,3626,17
31,9357,16
32,7095,10
33,7866,63
34,2894,9
35,5072,34
36,1049,28
37,5612,15
38,2433,25
39,4388,38
40,4630,72
41,3315,36
42,8726,5
43,4427,50
44,10822,36
45,9849,8
46,8888,49
47,2354,3
48,5196,48
49,5460,39
